"ID";"X3.Forest_1985";"X5.Mangrove_1985";"X6.Floodable_Formation_1985";"X33.RiverLakeOcean_1985";"X41.OtherTemporaryPond_1985";"X12.Grassland_1985";"X29.RockyOutcrop_1985";"X15.Pasture_1985";"X24.UrbanArea_1985";"X25.OtherNonVegetable_1985";"X0.x";"X30.Mining_1985";"X4.Savanna_Fomation_1985";"X11.Wetland_1985";"X21.MosaicOfUse_1985";"X3.Forest_2000";"X5.Mangrove_2000";"X6.Floodable_Formation_2000";"X30.Mining_2000";"X33.RiverLakeOcean_2000";"X12.Grassland_2000";"X29.RockyOutcrop_2000";"X15.Pasture_2000";"X24.UrbanArea_2000";"X25.OtherNonVegetable_2000";"X41.OtherTemporaryPond_2000";"X4.Savanna_Fomation_2000";"X11.Wetland_2000";"X21.MosaicOfUse_2000";"X39.Soybean_2000";"X9.ForestPlantation_2000";"X0.y";"X3.Forest_2015";"X5.Mangrove_2015";"X6.Floodable_Formation_2015";"X30.Mining_2015";"X33.RiverLakeOcean_2015";"X11.Wetland_2015";"X12.Grassland_2015";"X29.RockyOutcrop_2015";"X0.x.x";"X15.Pasture_2015";"X24.UrbanArea_2015";"X25.OtherNonVegetable_2015";"X41.OtherTemporaryPond_2015";"X4.Savanna_Fomation_2015";"X21.MosaicOfUse_2015";"X39.Soybean_2015";"X9.ForestPlantation_2015";"X3.Forest_2024";"X5.Mangrove_2024";"X6.Floodable_Formation_2024";"X30.Mining_2024";"X32.Hypersaline_2024";"X33.RiverLakeOcean_2024";"X12.Grassland_2024";"X29.RockyOutcrop_2024";"X15.Pasture_2024";"X24.UrbanArea_2024";"X25.OtherNonVegetable_2024";"X39.Soybean_2024";"X4.Savanna_Fomation_2024";"X11.Wetland_2024";"X21.MosaicOfUse_2024";"X41.OtherTemporaryPond_2024";"X9.ForestPlantation_2024";"X0.y.y";"latitude";"longitude";"morfotipo"
"125";3460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3460;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3274;0;0;0;0;0;0;0;0;186;0;0;0;0;0;0;0;3265;0;0;0;0;0;0;0;195;0;0;0;0;0;0;0;0;0;"-4,7195";"-56,5193";"orange"
"126";0;0;0;3463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3463;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3463;0;0;0;0;0;0;0;0;0;0;0;0;"-2,0881";"-51,6419";"orange"
"127";3472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3472;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"-2,3499";"-51,6645";"light sky blue"
"128";1971;0;102;0;0;0;0;1345;0;0;0;0;0;18;0;116;0;11;0;0;0;0;3299;0;0;0;0;10;0;0;0;0;124;0;0;0;8;9;0;0;0;1647;0;0;1648;0;0;0;0;136;0;0;0;0;1;0;0;1085;0;0;2011;0;0;0;203;0;0;"-2,319";"-51,8338";"light sky blue"
"129";2849;0;0;0;0;0;0;670;0;0;0;0;0;0;0;1368;0;0;0;0;0;0;2151;0;0;0;0;0;0;0;0;0;1024;0;0;0;0;0;0;0;0;2495;0;0;0;0;0;0;0;714;0;0;0;0;0;0;0;2805;0;0;0;0;0;0;0;0;0;"-2,602";"-51,9693";"light sky blue"
"130";3511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3511;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"-2,5058";"-51,2806";"light sky blue"
"131";3495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3495;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"-9,92831";"-56,1772";"yellow with black vermiculations"
"132";3271;0;0;0;0;0;0;0;0;0;0;0;213;0;0;3257;0;0;0;0;0;0;14;0;0;0;213;0;0;0;0;0;2275;0;0;0;0;0;0;0;0;978;0;0;0;231;0;0;0;943;0;0;0;0;0;0;0;2541;0;0;0;0;0;0;0;0;0;"-6,4874";"-49,768";"black with a varied cream pattern"
"133";3305;0;0;0;0;0;0;154;0;0;0;0;0;0;0;3174;0;0;0;0;0;0;285;0;0;0;0;0;0;0;0;0;2333;0;0;0;0;0;0;0;0;1126;0;0;0;0;0;0;0;2279;0;0;0;0;0;0;0;1180;0;0;0;0;0;0;0;0;0;"-5,9856";"-50,5401";"black"
"134";347;0;0;0;0;0;0;181;0;0;0;0;2871;0;143;240;0;0;0;0;0;0;472;0;0;0;2672;0;158;0;0;0;280;0;0;0;0;0;0;0;0;765;0;17;0;2366;114;0;0;337;0;0;0;0;0;0;0;1024;0;0;0;2030;0;137;0;14;0;"-7,1326";"-51,6898";"orange"
